"sample","Strat_m_measured","Strat_m_above_Pryor","avg_d13C_VPDB","SD_1sigma","SE_1sigma","d13C_3pt_avg","depth_3pt_avg","age_Ma"
"CCC-01",3,-5,-23.381836,NA,NA,NA,NA,NA
"CCC-02",4.5,-3.5,-24.5598928,NA,NA,-24.20118,-3.5,NA
"CCC-03",6.5,-1.5,-24.6618112,NA,NA,-23.6289714666667,-1.5,NA
"CCC-04",10.5,2.5,-21.6652104,NA,NA,-22.9854866666667,2.5,111.357
"CCC-05",12,4,-22.6294384,NA,NA,-22.432596,4,111.213
"CCC-06",12.25,4.25,-23.0031392,NA,NA,-23.0869307333333,4.25,111.189
"CCC-07",12.5,4.5,-23.6282146,0.0417931220379639,0.0295522000000012,-22.8074104333333,4.5,111.165
"CCC-08",13.75,5.75,-21.7908775,0.0526122800541842,0.0372024999999993,-22.4729814,5.75,111.045
"CCC-09",14,6,-21.9998521,0.00552462528141211,0.00390650000000114,-21.9518424333333,6,111.021
"CCC-12",14.5,6.5,-22.0647977,0.160960272236414,0.113816100000001,-22.4833458333333,6.5,110.973
"CCC-11",14.75,6.75,-23.3853877,0.113676041778468,0.0803811000000003,-22.1097281333333,6.75,110.949
"CCC-10",15,7,-20.878999,0.145772325683309,0.103076600000001,-21.8590928333333,7,110.926
"CCC-13",15.1,7.1,-21.3128918,0.302963860197351,0.2142278,-21.2070966666667,7.1,110.9164
"CCC-14",15.6,7.6,-21.4293992,NA,NA,-22.3214847333333,7.6,110.8684
"CCC-15",16,8,-24.2221632,NA,NA,-23.1911553333333,8,110.83
"CCC-16",16.25,8.25,-23.9219036,0.020489691777088,0.0144884000000012,-23.7970036,8.25,110.806
"CCC-17",16.5,8.5,-23.246944,NA,NA,-23.6231428,8.5,110.782
"CCC-18",16.75,8.75,-23.7005808,NA,NA,-23.5200586666667,8.75,110.759
"CCC-19",17,9,-23.6126512,NA,NA,-23.1028907666667,9,110.735
"CCC-20",17.25,9.25,-21.9954403,0.273423343042431,0.193339499999999,-22.4660673,9.25,110.711
"CCC-21",17.5,9.5,-21.7901104,NA,NA,-22.1466563666667,9.5,110.686
"CCC-22",18,10,-22.6544184,NA,NA,-22.5015408,10,110.639
"CCC-23",18.25,10.25,-23.0600936,NA,NA,-23.6160538333333,10.25,110.615
"CCC-24",18.5,10.5,-25.1336495,NA,NA,-23.7712629,10.5,110.591
"CCC-25",18.75,10.75,-23.1200456,NA,NA,-23.8508658333333,10.75,110.567
"CCC-26",19,11,-23.2989024,NA,NA,-23.1484905166667,11,110.543
"CCC-27",19.25,11.25,-23.02652355,0.351013958009998,0.24820435,-23.1783083666667,11.25,110.519
"CCC-28",19.5,11.5,-23.20949915,0.514767726296168,0.363995750000001,-23.3513891,11.5,110.495
"CCC-29",19.75,11.75,-23.8181446,1.10213665140117,0.779328299999999,-23.9868064166667,11.75,110.471
"CCC-30",20,12,-24.9327755,NA,NA,-25.0543611666667,12,110.448
"CCC-31",20.25,12.25,-26.4121634,0.149581651334915,0.1057702,-24.7497977833333,12.25,110.424
"CCC-32",20.5,12.5,-22.90445445,0.506050089633629,0.357831449999999,-24.0973012666667,12.5,110.399
"CCC-33",20.75,12.75,-22.97528595,0.366126809822941,0.258890749999999,-22.9245261,12.75,110.375
"CCC-34",21,13,-22.8938379,0.234938964349871,0.13564207431053,-22.9006485722222,13,110.351
"CCC-35",24,16,-22.8328218666667,0.547621848229746,0.316169621489564,-22.7926876888889,16,110.079
"CCC-36",24.25,16.25,-22.6514033,0.731883661377968,0.5175199,-22.7454765222222,16.25,110.069
"CCC-37",24.5,16.5,-22.7522044,NA,NA,-22.6927365333333,16.5,110.06
"CCC-38",24.75,16.75,-22.6746019,NA,NA,-22.6378692666667,16.75,110.053
"CCC-39",25,17,-22.4868015,0.376897955288723,0.2665071,-22.8800282666667,17,110.047
"CCC-40",25.25,17.25,-23.4786814,0.0389646949132168,0.0275522000000006,-23.2845959666667,17.25,110.043
"CCC-41",25.5,17.5,-23.888305,NA,NA,-23.4396293,17.5,110.039
"CCC-42",25.75,17.75,-22.9519015,NA,NA,-23.2858469333333,17.75,110.036
"CCC-43",26,18,-23.0173343,NA,NA,-23.2080155333333,18,110.033
"CCC-44",26.25,18.25,-23.6548108,NA,NA,-23.9285408666667,18.25,110.03
"CCC-45",26.5,18.5,-25.1134775,NA,NA,-24.4689737,18.5,110.027
"CCC-46",26.75,18.75,-24.6386328,NA,NA,-24.3923426666667,18.75,110.025
"CCC-47",27,19,-23.4249177,NA,NA,-23.6459879,19,110.022
"CCC-48",28,20,-22.8744132,0.155269901125492,0.1097924,-23.0909870333333,20,110.013
"CCC-49",28.25,20.25,-22.9736302,NA,NA,-23.0969933,20.25,110.011
"CCC-50",28.5,20.5,-23.4429365,0.420598069762441,0.242832408797982,-23.6519378,20.5,110.009
"CCC-51",29.5,21.5,-24.5392467,NA,NA,-24.0690697333333,21.5,109.999
"CCC-52",29.75,21.75,-24.225026,NA,NA,-24.1959129,21.75,109.997
"CCC-53",30,22,-23.823466,NA,NA,-24.0650712666667,22,109.995
"CCC-54",30.25,22.25,-24.1467218,NA,NA,-24.4776741666667,22.25,109.992
"CCC-55",30.75,22.75,-25.4628347,NA,NA,-24.4010925,22.75,109.988
"CCC-56",31,23,-23.593721,NA,NA,-25.0461277,23,109.985
"CCC-57",31.25,23.25,-26.0818274,NA,NA,-24.4339335333333,23.25,109.983
"CCC-58",31.5,23.5,-23.6262522,NA,NA,-24.8121974666667,23.5,109.981
"CCC-60",32,24,-24.7285128,0.885122763453319,0.511025865745639,-24.8174572666667,24,109.976
"CCC-61",32.25,24.25,-26.0976068,NA,NA,-25.4531711333333,24.25,109.974
"CCC-62",32.5,24.5,-25.5333938,NA,NA,-25.8953034,24.5,109.971
"CCC-63",32.75,24.75,-26.0549096,NA,NA,-25.8183806666667,24.75,109.969
"CCC-64",33,25,-25.8668386,NA,NA,-26.4687213,25,109.966
"CCC-65",33.5,25.5,-27.4844157,1.08183589855601,0.7649735,-26.4206022333333,25.5,109.962
"CCC-66",34,26,-25.9105524,NA,NA,-26.6450094666667,26,109.957
"CCC-67",35.3,27.3,-26.5400603,0.532273922431393,0.376374500000001,-25.9326562333333,27.3,109.9444
"CCC-68",35.55,27.55,-25.347356,NA,NA,-25.3542108333333,27.55,109.9416
"CCC-69",35.8,27.8,-24.1752162,NA,NA,-24.5725832833333,27.8,109.9394
"CCC-70",36.05,28.05,-24.19517765,0.646156085836577,0.456901350000001,-24.3438396833333,28.05,109.9366
"CCC-71",36.3,28.3,-24.6611252,NA,NA,-24.0590377166667,28.3,109.9346
"CCC-72",36.55,28.55,-23.3208103,0.773292965855103,0.5468007,-24.3164004166667,28.55,109.9324
"CCC-73",36.8,28.8,-24.96726575,0.505357549252136,0.35734175,-24.0746465166667,28.8,109.9296
"CCC-74",37.05,29.05,-23.9358635,NA,NA,-24.4363880666667,29.05,109.9274
"CCC-75",37.3,29.3,-24.40603495,0.542671998359418,0.383727049999999,-24.34190225,29.3,109.9246
"CCC-76",37.55,29.55,-24.6838083,NA,NA,-24.3952548833333,29.55,109.9224
"CCC-59",37.75,29.75,-24.0959214,NA,NA,-24.2074232666667,29.75,109.92
"CCC-77",37.8,29.8,-23.8425401,NA,NA,-24.1739599333333,29.8,109.9196
"CCC-78",38.05,30.05,-24.5834183,NA,NA,-24.8146499333333,30.05,109.9176
"CCC-79",38.3,30.3,-26.0179914,NA,NA,-25.1496852666667,30.3,109.9154
"CCC-80",38.55,30.55,-24.8476461,NA,NA,-25.2610874666667,30.55,109.9124
"CCC-81",38.8,30.8,-24.9176249,NA,NA,-24.7186655666667,30.8,109.9096
"CCC-82",39.2,31.2,-24.3907257,NA,NA,-24.6730421333333,31.2,109.9056
"CCC-83",39.45,31.45,-24.7107758,NA,NA,-24.7536549666667,31.45,109.9026
"CCC-84",39.7,31.7,-25.1594634,NA,NA,-24.8939556,31.7,109.9004
"CCC-85",39.95,31.95,-24.8116276,NA,NA,-24.7042581666667,31.95,109.8976
"CCC-86",40.2,32.2,-24.1416835,NA,NA,-24.1948536666667,32.2,109.8946
"CCC-87",40.45,32.45,-23.6312499,NA,NA,-24.5800066,32.45,109.8924
"CCC-88",40.7,32.7,-25.9670864,NA,NA,-23.9467670666667,32.7,109.8896
"CCC-89",40.95,32.95,-22.2419649,NA,NA,-24.26924795,32.95,109.8866
"CCC-90",41.2,33.2,-24.59869255,0.394529875009643,0.27897475,-23.7379628166667,33.2,109.8836
"CCC-91",41.45,33.45,-24.373231,NA,NA,-24.6332798166667,33.45,109.8806
"CCC-92",41.7,33.7,-24.9279159,NA,NA,-24.5293111666667,33.7,109.8776
"CCC-93",41.95,33.95,-24.2867866,NA,NA,-24.8095694,33.95,109.8746
"CCC-94",42.2,34.2,-25.2140057,NA,NA,-24.6421691333333,34.2,109.8716
"CCC-95",42.45,34.45,-24.4257151,NA,NA,-24.5704751666667,34.45,109.8678
"CCC-96",42.7,34.7,-24.0717047,NA,NA,-24.4102786,34.7,109.8614
"CCC-97",42.95,34.95,-24.733416,NA,NA,-24.4538438333333,34.95,109.8552
"CCC-98",43.2,35.2,-24.5564108,NA,NA,-23.7513115666667,35.2,109.8476
"CCC-99",43.45,35.45,-21.9641079,NA,NA,-23.265104,35.45,109.838
"CCC-100",43.7,35.7,-23.2747933,0.318176696909156,0.224984900000001,-23.1838051,35.7,109.8272
"CCC-101",43.95,35.95,-24.3125141,NA,NA,-24.0105154333333,35.95,109.8146
"CCC-102",44.2,36.2,-24.4442389,NA,NA,-24.3417283666667,36.2,109.7976
"CCC-103",44.45,36.45,-24.2684321,NA,NA,-24.2869486333333,36.45,109.7748
"CCC-104",44.7,36.7,-24.1481749,NA,NA,-24.4181929,36.7,109.7508
"CCC-105",44.95,36.95,-24.8379717,0.547414351408803,0.3870804,-24.4475660666667,36.95,109.7268
"CCC-106",45.2,37.2,-24.3565516,NA,NA,-26.4651842,37.2,109.702
"CCC-107",45.45,37.45,-30.2010293,NA,NA,-26.1640652,37.45,109.6762
"CCC-108",45.7,37.7,-23.9346147,NA,NA,-26.3345248833333,37.7,109.6526
"CCC-109",45.95,37.95,-24.86793065,0.83755617363222,0.59224165,-23.9212329166667,37.95,109.6288
"CCC-110",46.2,38.2,-22.9611534,NA,NA,-23.75190525,38.2,109.6056
"CCC-111",46.45,38.45,-23.4266317,NA,NA,-23.2510838333333,38.45,109.5826
"CCC-112",46.7,38.7,-23.3654664,NA,NA,-23.404861,38.7,109.5596
"CCC-113",47,39,-23.4224849,NA,NA,-23.3792890666667,39,109.532
"CCC-114",47.25,39.25,-23.3499159,NA,NA,-23.4114267666667,39.25,109.51
"CCC-115",47.5,39.5,-23.4618795,NA,NA,-23.2144537666667,39.5,109.489
"CCC-116",47.75,39.75,-22.8315659,NA,NA,-23.2431358,39.75,109.466
"CCC-117",48.15,40.15,-23.435962,NA,NA,-23.2607597,40.15,109.4314
"CCC-118",48.55,40.55,-23.5147512,NA,NA,-23.6070175,40.55,109.3936
"CCC-119",48.95,40.95,-23.8703393,NA,NA,-23.7728895,40.95,109.3568
"CCC-120",49.15,41.15,-23.933578,NA,NA,-23.5119866666667,41.15,109.3394
"CCC-121",49.5,41.5,-22.7320427,NA,NA,-23.2690533,41.5,109.312
"CCC-122",49.85,41.85,-23.1415392,NA,NA,-23.0786460666667,41.85,109.2836
"CCC-123",50.2,42.2,-23.3623563,NA,NA,-23.1926830666667,42.2,109.2534
"CCC-124",50.55,42.55,-23.0741537,NA,NA,-23.3499159,42.55,109.2228
"CCC-125",50.95,42.95,-23.6132377,NA,NA,-23.7753084666667,42.95,109.1876
"CCC-126",51.2,43.2,-24.638534,NA,NA,-24.3206126666667,43.2,109.1646
"CCC-127",51.55,43.55,-24.7100663,NA,NA,-24.6250569,43.55,109.1314
"CCC-128",51.8,43.8,-24.5265704,NA,NA,-23.9985445333333,43.8,109.1088
"CCC-129",52.05,44.05,-22.7589969,NA,NA,-23.3208883,44.05,109.0874
"CCC-130",52.3,44.3,-22.6770976,NA,NA,-22.8467329666667,44.3,109.0646
"CCC-131",53.8,45.8,-23.1041044,NA,NA,-23.0681992,45.8,108.9136
"CCC-132",54.05,46.05,-23.4233956,NA,NA,-23.3218666,46.05,108.882
"CCC-133",54.3,46.3,-23.4380998,NA,NA,-23.4444016,46.3,108.8498
"CCC-134",54.55,46.55,-23.4717094,NA,NA,-23.7440872,46.55,108.8104
"CCC-135",54.8,46.8,-24.3224524,NA,NA,-23.8001032,46.8,108.7762
"CCC-136",55.05,47.05,-23.6061478,NA,NA,-24.0966379,47.05,108.7374
"CCC-137",55.3,47.3,-24.3613135,NA,NA,-24.3375776555556,47.3,108.698
"CCC-138",55.55,47.55,-25.0452716666667,0.345032464909279,0.199204586494532,-24.6696034888889,47.55,108.6532
"CCC-139",55.8,47.8,-24.6022253,0.329141747209739,0.190030076353086,-24.9168760888889,47.8,108.6096
"CCC-140",56.05,48.05,-25.1031313,0.0793448098228857,0.0458097473100427,-24.8055971333333,48.05,108.5672
"CCC-141",56.3,48.3,-24.7114348,0.406025380662072,0.2871033,-24.9355303222222,48.3,108.523
"CCC-142",56.55,48.55,-24.9920248666667,0.261041259883994,0.150712241663623,-24.4270831222222,48.55,108.478
"CCC-143",56.8,48.8,-23.5777897,NA,NA,-24.3334826222222,48.8,108.4316
"CCC-144",57.05,49.05,-24.4306333,NA,NA,-24.6403432,49.05,108.3808
"CCC-145",57.3,49.3,-25.9126066,NA,NA,-24.8377996,49.3,108.3346
"CCC-146",57.55,49.55,-24.1701589,NA,NA,-24.7002103,49.55,108.289
"CCC-147",57.8,49.8,-24.0178654,NA,NA,-24.3080983,49.8,108.2478
"CCC-148",58.05,50.05,-24.7362706,NA,NA,-24.5958805,50.05,108.203
"CCC-149",58.3,50.3,-25.0335055,NA,NA,-24.5895787,50.3,108.1608
"CCC-150",58.55,50.55,-23.99896,NA,NA,-24.3108991,50.55,108.1104
"CCC-151",58.8,50.8,-23.9002318,NA,NA,-24.0780826,50.8,108.0638
"CCC-152",59.05,51.05,-24.335056,NA,NA,-23.8470166,51.05,108.0224
"CCC-153",59.3,51.3,-23.305762,NA,NA,-23.8052434444444,51.3,107.9796
"CCC-154",59.55,51.55,-23.7749123333333,0.506267700121944,0.292293792947417,-23.5602782222222,51.55,107.9374
"CCC-155",60.05,52.05,-23.6001603333333,0.475635930354681,0.274608532426533,-23.6641767333333,52.05,107.8412
"CCC-156",60.3,52.3,-23.6174575333333,0.403286610693342,0.232837633244373,-23.6371582555556,52.3,107.7912
"CCC-157",60.55,52.55,-23.6938569,0.347549369363217,0.200657721958538,-23.4831539777778,52.55,107.7392
"CCC-158",60.8,52.8,-23.1381475,NA,NA,-23.5403260666667,52.8,107.694
"CCC-159",61.05,53.05,-23.7889738,NA,NA,-23.6244565,53.05,107.6442
"CCC-160",61.3,53.3,-23.9462482,NA,NA,-23.7172346,53.3,107.5956
"CCC-161",61.55,53.55,-23.4164818,NA,NA,-23.5905850833333,53.55,107.5486
"CCC-162",61.8,53.8,-23.40902525,0.514774797363979,0.364000750000001,-23.3350141833333,53.8,107.5006
"CCC-163",62.05,54.05,-23.1795355,NA,NA,-25.0437709666667,54.05,107.449
"CCC-164",63,55,-28.54275215,0.43950441187752,0.31077655,NA,NA,107.272
