"sample","depth","age","d13C","section"
"CCC-02",-13.5,110.2739209,-24.20118,"CCC"
"CCC-03",-11.5,110.2739209,-23.6289714666667,"CCC"
"CCC-04",-7.5,110.2739209,-22.9854866666667,"CCC"
"CCC-05",-6,110.2739209,-22.432596,"CCC"
"CCC-06",-5.75,110.2739209,-23.0869307333333,"CCC"
"CCC-07",-5.5,110.2739209,-22.8074104333333,"CCC"
"CCC-08",-4.25,110.2739209,-22.4729814,"CCC"
"CCC-09",-4,110.2739209,-21.9518424333333,"CCC"
"CCC-12",-3.5,110.2739209,-22.4833458333333,"CCC"
"CCC-11",-3.25,110.2739209,-22.1097281333333,"CCC"
"CCC-10",-3,110.2739209,-21.8590928333333,"CCC"
"CCC-13",-2.9,110.2739209,-21.2070966666667,"CCC"
"CCC-14",-2.4,110.2739209,-22.3214847333333,"CCC"
"CCC-15",-2,110.2739209,-23.1911553333333,"CCC"
"CCC-16",-1.75,110.2739209,-23.7970036,"CCC"
"CCC-17",-1.5,110.2739209,-23.6231428,"CCC"
"CCC-18",-1.25,110.2739209,-23.5200586666667,"CCC"
"CCC-19",-1,110.2739209,-23.1028907666667,"CCC"
"CCC-20",-0.75,110.2739209,-22.4660673,"CCC"
"CCC-21",-0.5,110.2739209,-22.1466563666667,"CCC"
"CCC-22",0,110.2739209,-22.5015408,"CCC"
"CCC-23",0.25,110.2739209,-23.6160538333333,"CCC"
"CCC-24",0.5,110.2739209,-23.7712629,"CCC"
"CCC-25",0.75,110.2739209,-23.8508658333333,"CCC"
"CCC-26",1,110.2739209,-23.1484905166667,"CCC"
"CCC-27",1.25,110.2551735,-23.1783083666667,"CCC"
"CCC-28",1.5,110.2364261,-23.3513891,"CCC"
"CCC-29",1.75,110.2177885,-23.9868064166667,"CCC"
"CCC-30",2,110.1991509,-25.0543611666667,"CCC"
"CCC-31",2.25,110.18315675,-24.7497977833333,"CCC"
"CCC-32",2.5,110.1671626,-24.0973012666667,"CCC"
"CCC-33",2.75,110.1511478,-22.9245261,"CCC"
"CCC-34",3,110.135133,-22.9006485722222,"CCC"
"CCC-35",6,109.6004122,-22.7926876888889,"CCC"
"CCC-36",6.25,109.56287665,-22.7454765222222,"CCC"
"CCC-37",6.5,109.5253411,-22.6927365333333,"CCC"
"CCC-38",6.75,109.4971835,-22.6378692666667,"CCC"
"CCC-39",7,109.4690259,-22.8800282666667,"CCC"
"CCC-40",7.25,109.4524478,-23.2845959666667,"CCC"
"CCC-41",7.5,109.4358697,-23.4396293,"CCC"
"CCC-42",7.75,109.4164542,-23.2858469333333,"CCC"
"CCC-43",8,109.3970387,-23.2080155333333,"CCC"
"CCC-44",8.25,109.38437445,-23.9285408666667,"CCC"
"CCC-45",8.5,109.3717102,-24.4689737,"CCC"
"CCC-46",8.75,109.35963835,-24.3923426666667,"CCC"
"CCC-47",9,109.3475665,-23.6459879,"CCC"
"CCC-48",10,109.3101896,-23.0909870333333,"CCC"
"CCC-49",10.25,109.2977219,-23.0969933,"CCC"
"CCC-50",10.5,109.2852542,-23.6519378,"CCC"
"CCC-51",11.5,109.2439711,-24.0690697333333,"CCC"
"CCC-52",11.75,109.2368441,-24.1959129,"CCC"
"CCC-53",12,109.2297171,-24.0650712666667,"CCC"
"CCC-54",12.25,109.22149845,-24.4776741666667,"CCC"
"CCC-55",12.75,109.20827245,-24.4010925,"CCC"
"CCC-56",13,109.2032651,-25.0461277,"CCC"
"CCC-57",13.25,109.1954156,-24.4339335333333,"CCC"
"CCC-58",13.5,109.1875661,-24.8121974666667,"CCC"
"CCC-60",14,109.1716275,-24.8174572666667,"CCC"
"CCC-61",14.25,109.1610492,-25.4531711333333,"CCC"
"CCC-62",14.5,109.1504709,-25.8953034,"CCC"
"CCC-63",14.75,109.1411589,-25.8183806666667,"CCC"
"CCC-64",15,109.1318469,-26.4687213,"CCC"
"CCC-65",15.5,109.1132739,-26.4206022333333,"CCC"
"CCC-66",16,109.1004919,-26.6450094666667,"CCC"
"CCC-67",17.3,109.06927666,-25.9326562333333,"CCC"
"CCC-68",17.55,109.06208463,-25.3542108333333,"CCC"
"CCC-69",17.8,109.05520028,-24.5725832833333,"CCC"
"CCC-70",18.05,109.04802993,-24.3438396833333,"CCC"
"CCC-71",18.3,109.03971558,-24.0590377166667,"CCC"
"CCC-72",18.55,109.03150946,-24.3164004166667,"CCC"
"CCC-73",18.8,109.02373626,-24.0746465166667,"CCC"
"CCC-74",19.05,109.01541318,-24.4363880666667,"CCC"
"CCC-75",19.3,109.00489058,-24.34190225,"CCC"
"CCC-76",19.55,108.994222,-24.3952548833333,"CCC"
"CCC-59",19.75,108.98522,-24.2074232666667,"CCC"
"CCC-77",19.8,108.9829695,-24.1739599333333,"CCC"
"CCC-78",20.05,108.97215989,-24.8146499333333,"CCC"
"CCC-79",20.3,108.96312184,-25.1496852666667,"CCC"
"CCC-80",20.55,108.95314543,-25.2610874666667,"CCC"
"CCC-81",20.8,108.93941558,-24.7186655666667,"CCC"
"CCC-82",21.2,108.91728722,-24.6730421333333,"CCC"
"CCC-83",21.45,108.90335662,-24.7536549666667,"CCC"
"CCC-84",21.7,108.88813082,-24.8939556,"CCC"
"CCC-85",21.95,108.87258122,-24.7042581666667,"CCC"
"CCC-86",22.2,108.85657162,-24.1948536666667,"CCC"
"CCC-87",22.45,108.84044702,-24.5800066,"CCC"
"CCC-88",22.7,108.82463662,-23.9467670666667,"CCC"
"CCC-89",22.95,108.80890477,-24.26924795,"CCC"
"CCC-90",23.2,108.79296376,-23.7379628166667,"CCC"
"CCC-91",23.45,108.77697046,-24.6332798166667,"CCC"
"CCC-92",23.7,108.7619864,-24.5293111666667,"CCC"
"CCC-93",23.95,108.74725465,-24.8095694,"CCC"
"CCC-94",24.2,108.73019338,-24.6421691333333,"CCC"
"CCC-95",24.45,108.71254973,-24.5704751666667,"CCC"
"CCC-96",24.7,108.69423604,-24.4102786,"CCC"
"CCC-97",24.95,108.67575484,-24.4538438333333,"CCC"
"CCC-98",25.2,108.65627908,-23.7513115666667,"CCC"
"CCC-99",25.45,108.63655468,-23.265104,"CCC"
"CCC-100",25.7,108.61519348,-23.1838051,"CCC"
"CCC-101",25.95,108.59342308,-24.0105154333333,"CCC"
"CCC-102",26.2,108.57073976,-24.3417283666667,"CCC"
"CCC-103",26.45,108.54782821,-24.2869486333333,"CCC"
"CCC-104",26.7,108.5252963,-24.4181929,"CCC"
"CCC-105",26.95,108.5028593,-24.4475660666667,"CCC"
"CCC-106",27.2,108.48114402,-26.4651842,"CCC"
"CCC-107",27.45,108.45960917,-26.1640652,"CCC"
"CCC-108",27.7,108.43361656,-26.3345248833333,"CCC"
"CCC-109",27.95,108.40650951,-23.9212329166667,"CCC"
"CCC-110",28.2,108.38516418,-23.75190525,"CCC"
"CCC-111",28.45,108.36525928,-23.2510838333333,"CCC"
"CCC-112",28.7,108.34515754,-23.404861,"CCC"
"CCC-113",29,108.3209764,-23.3792890666667,"CCC"
"CCC-114",29.25,108.30135115,-23.4114267666667,"CCC"
"CCC-115",29.5,108.2817259,-23.2144537666667,"CCC"
"CCC-116",29.75,108.2610249,-23.2431358,"CCC"
"CCC-117",30.15,108.22683764,-23.2607597,"CCC"
"CCC-118",30.55,108.19082815,-23.6070175,"CCC"
"CCC-119",30.95,108.15449575,-23.7728895,"CCC"
"CCC-120",31.15,108.13456,-23.5119866666667,"CCC"
"CCC-121",31.5,108.0986402,-23.2690533,"CCC"
"CCC-122",31.85,108.06261827,-23.0786460666667,"CCC"
"CCC-123",32.2,108.0269767,-23.1926830666667,"CCC"
"CCC-124",32.55,107.99140365,-23.3499159,"CCC"
"CCC-125",32.95,107.94926245,-23.7753084666667,"CCC"
"CCC-126",33.2,107.92079188,-24.3206126666667,"CCC"
"CCC-127",33.55,107.87987849,-24.6250569,"CCC"
"CCC-128",33.8,107.84933344,-23.9985445333333,"CCC"
"CCC-129",34.05,107.81886938,-23.3208883,"CCC"
"CCC-130",34.3,107.78872928,-22.8467329666667,"CCC"
"CCC-131",35.8,107.5993726,-23.0681992,"CCC"
"CCC-132",36.05,107.56891486,-23.3218666,"CCC"
"CCC-133",36.3,107.54322016,-23.4444016,"CCC"
"CCC-134",36.55,107.51845428,-23.7440872,"CCC"
"CCC-135",36.8,107.49740368,-23.8001032,"CCC"
"CCC-136",37.05,107.47750039,-24.0966379,"CCC"
"CCC-137",37.3,107.46218634,-24.3375776555556,"CCC"
"CCC-138",37.55,107.44682508,-24.6696034888889,"CCC"
"CCC-139",37.8,107.43127498,-24.9168760888889,"CCC"
"CCC-140",38.05,107.41561873,-24.8055971333333,"CCC"
"CCC-141",38.3,107.39953788,-24.9355303222222,"CCC"
"CCC-142",38.55,107.38418199,-24.4270831222222,"CCC"
"CCC-143",38.8,107.37172594,-24.3334826222222,"CCC"
"CCC-144",39.05,107.35955599,-24.6403432,"CCC"
"CCC-145",39.3,107.34853044,-24.8377996,"CCC"
"CCC-146",39.55,107.33721192,-24.7002103,"CCC"
"CCC-147",39.8,107.32472152,-24.3080983,"CCC"
"CCC-148",40.05,107.31221368,-24.5958805,"CCC"
"CCC-149",40.3,107.29963608,-24.5895787,"CCC"
"CCC-150",40.55,107.28705845,-24.3108991,"CCC"
"CCC-151",40.8,107.2744807,-24.0780826,"CCC"
"CCC-152",41.05,107.26221209,-23.8470166,"CCC"
"CCC-153",41.3,107.25118004,-23.8052434444444,"CCC"
"CCC-154",41.55,107.23951594,-23.5602782222222,"CCC"
"CCC-155",42.05,107.21106092,-23.6641767333333,"CCC"
"CCC-156",42.3,107.19651652,-23.6371582555556,"CCC"
"CCC-157",42.55,107.1817907,-23.4831539777778,"CCC"
"CCC-158",42.8,107.1663392,-23.5403260666667,"CCC"
"CCC-159",43.05,107.15031811,-23.6244565,"CCC"
"CCC-160",43.3,107.13201866,-23.7172346,"CCC"
"CCC-161",43.55,107.11306564,-23.5905850833333,"CCC"
"CCC-162",43.8,107.09149834,-23.3350141833333,"CCC"
"CCC-163",44.05,107.06840517,-25.0437709666667,"CCC"
"A-004",11.5,124.6364744,-27.88,"CLC"
"A-006",12,124.54957,-27.91,"CLC"
"A-007",12.25,124.50362275,-28.17,"CLC"
"A-007",12.25,124.50362275,-25.32,"CLC"
"A-005",11.75,124.5930222,-27.6,"CLC"
"A-08",12.5,124.4576755,-26.41,"CLC"
"A-09",13.32,124.298222676,-25.98,"CLC"
"A-10",13.57,124.249239274,-26.78,"CLC"
"A-11",13.75,124.21515595,-26.3,"CLC"
"A-11",13.75,124.21515595,-25.84,"CLC"
"A-12",14,124.167818,-26.27,"CLC"
"A-13",14.25,124.12999375,-21.24,"CLC"
"A-13",14.25,124.12999375,-27.42,"CLC"
"A-14",14.5,124.0921695,-26.84,"CLC"
"A-15",14.75,124.0508340625,-26.53,"CLC"
"A-16",15,109.455087,-27.02,"CLC"
"A-17",15.25,109.3226713,-26.83,"CLC"
"A-19",15.75,109.0419707,-26.37,"CLC"
"A-20",16,108.8936858,-26.67,"CLC"
"A-21",16.25,108.79930085,-24.81,"CLC"
"A-22",16.5,108.7049159,-25.74,"CLC"
"A-24",17,108.5853207,-25.51,"CLC"
"A-26",17.5,108.5014489,-26.84,"CLC"
"A-27",17.75,108.4646301,-26.06,"CLC"
"A-28",18,108.4278113,-26.27,"CLC"
"A-29",18.25,108.3912979,-25.88,"CLC"
"A-30",18.5,108.3547845,-25.65,"CLC"
"A-31",18.75,108.31938495,-24.91,"CLC"
"A-35",19.75,108.18161725,-25.4,"CLC"
"A-36",20,108.1476317,-24.76,"CLC"
"A-40",21.25,107.98254695,-26.55,"CLC"
"A-42",21.75,107.91787345,-26.46,"CLC"
"B-02",23.5,107.694668,-25.51,"CLC"
"B-03",23.75,107.6622354,-25.53,"CLC"
"B-04",24,107.6298028,-27.61,"CLC"
"B-05mudstone",24.25,107.59765575,-26.72,"CLC"
"B-06",24.5,107.5655087,-25.68,"CLC"
"B-06",24.5,107.5655087,-25.85,"CLC"
"B-07",24.75,107.5349241,-24.33,"CLC"
"B-08",25,107.5043395,-26.48,"CLC"
"B-09",25.25,107.4731793,-25.69,"CLC"
"B-10",25.5,107.4420191,-24.94,"CLC"
"B-11",25.75,107.409219,-24.4,"CLC"
"B-12",26,107.3764189,-27.36,"CLC"
"B-13",26.25,107.3443259,-26.35,"CLC"
"B-14",26.5,107.3122329,-27.99,"CLC"
"B-16",27,107.2469835,-27.24,"CLC"
"B-17",27.25,107.2117371,-28.12,"CLC"
"B-18",27.5,107.1764907,-27.74,"CLC"
"B-19a",27.75,107.14083245,-26.92,"CLC"
"B-19b",27.75,107.14083245,-25.85,"CLC"
"B-20",28,107.1051742,-27.82,"CLC"
"B-21",28.25,107.06538905,-26.81,"CLC"
"B-22",28.5,107.0256039,-24.97,"CLC"
"B-23",28.75,106.9784217,-25.01,"CLC"
"B-24",28.95,106.94067594,-25.73,"CLC"
"B-channtop",30.7,106.66382702,-23.48,"CLC"
"B-Coal1",30.2,106.72591636,-22.56,"CLC"
"C-01",37.1,106.10622712,-25.45,"CLC"
"C-02",37.35,106.08599942,-24.61,"CLC"
"C-03",37.6,106.06595418,-25.63,"CLC"
"C-04",37.85,106.04618263,-25.96,"CLC"
"C-05",38.1,106.02625808,-24.39,"CLC"
"C-06",38.35,106.00610403,-25.14,"CLC"
"C-07",38.6,105.9862705,-26.43,"CLC"
"C-08",38.85,105.96691775,-26.23,"CLC"
"C-09",39.1,105.94744974,-26.14,"CLC"
"C-10",39.35,105.92780884,-25.87,"CLC"
"C-11",51.35,104.97642985,-26.53,"CLC"
"C-12",51.6,104.9560728,-24.77,"CLC"
"C-13",51.85,104.9363723,-24.95,"CLC"
"C-14",52.1,104.91608514,-24.99,"CLC"
"C-15",52.35,104.89491799,-24.74,"CLC"
"C-16",52.6,104.87311712,-24.67,"CLC"
"C-17",52.85,104.85036567,-24.14,"CLC"
"C-18",53.1,104.82707908,-24.27,"CLC"
"C-19",56.5,104.461629,-25.68,"CLC"
"C-20",57.5,104.3833613,-24.66,"CLC"
"C-21",62.5,104.3833613,-24.57,"CLC"
"D-01",53.1,104.82707908,-24.69,"CLC"
"D-02",53.35,104.80298978,-23.84,"CLC"
"D-03",53.6,104.77941644,-23.87,"CLC"
"D-07",54.6,104.68500316,-24.02,"CLC"
"D-09",55.1,104.63776166,-24.54,"CLC"
"D-11",55.6,104.58257058,-24.61,"CLC"
"D-12",55.85,104.55330628,-24.57,"CLC"
"D-13",56.1,104.52092396,-25.41,"CLC"
"D-14",56.35,104.48386461,-26.31,"CLC"
"D-15",56.6,104.44597546,-23.73,"CLC"
"D-16",56.85,104.40684161,-24.76,"CLC"
"D-17",57.1,104.3833613,-24.06,"CLC"
"D-18",57.35,104.3833613,-24.7,"CLC"
"D-21",58.1,104.3833613,-24.13,"CLC"
"D-22",58.35,104.3833613,-24.6,"CLC"
"D-23",58.6,104.3833613,-25.82,"CLC"
"D-24",58.85,104.3833613,-23.93,"CLC"
"D-25",59.1,104.3833613,-25.19,"CLC"
"D-26",59.35,104.3833613,-25.21,"CLC"
"D-27",59.6,104.3833613,-24.49,"CLC"
"D-28",59.85,104.3833613,-25.99,"CLC"
"D-29",60.1,104.3833613,-24.6,"CLC"
"D-30",60.35,104.3833613,-24.2,"CLC"
"D-31",60.6,104.3833613,-25.86,"CLC"
"D-32",60.85,104.3833613,-24.65,"CLC"
"D-33",61.1,104.3833613,-23.86,"CLC"
"D-34",61.35,104.3833613,-23.73,"CLC"
"D-35",61.6,104.3833613,-23.7,"CLC"
"D-36",61.85,104.3833613,-24.63,"CLC"
"D-37",62.1,104.3833613,-25.72,"CLC"
"D-39",62.6,104.3833613,-24.94,"CLC"
"D-41",63.1,104.3833613,-24.99,"CLC"
"D-Top Sykes",67.1,104.3833613,-26.44,"CLC"
