Identifier 1,d 13C/12C,Comment,Depth,precarb_wt(mg),decarb_wt(mg),%C
A-004,-27.88,j230802_05,11.5,,,0.11
A-006,-27.91,j230802_05,12,,,0.17
A-007,-28.17,j230802_04,12.25,,,0.12
A-007,-25.32,j230802_04,12.25,,,0.08
A-005,-27.6,j230802_04,11.75,,,0.11
A-08,-26.41,j230802_05,12.5,,,0.16
A-09,-25.98,j230802_05,13.32,,,0.22
A-10,-26.78,j230802_04,13.57,,,0.09
A-10,-10.55,j230802_05,13.57,,,0.17
A-11,-26.3,j230802_04,13.75,,,0.06
A-11,-25.84,j230802_04,13.75,,,0.08
A-12,-26.27,j230802_05,14,,,0.05
A-13,-21.24,j230802_05,14.25,,,0.08
A-13,-27.42,j230802_05,14.25,,,0.16
A-14,-26.84,j230802_05,14.5,,,0.18
A-15,-26.53,j230802_04,14.75,,,0.17
A-16,-27.02,j230802_05,15,,,0.12
A-17,-26.83,j230802_05,15.25,,,0.22
A-19,-26.37,j230802_05,15.75,,,0.28
A-20,-26.67,j230802_04,16,,,0.16
A-21,-24.81,j230802_04,16.25,,,0.1
A-22,-25.74,j230802_04,16.5,,,0.14
A-24,-25.51,j230802_04,17,,,0.14
A-26,-26.84,j230802_05,17.5,,,0.08
A-27,-26.06,j230802_04,17.75,,,0.09
A-28,-26.27,j230802_04,18,,,0.14
A-29,-25.88,j230802_04,18.25,,,0.07
A-30,-25.65,j230802_04,18.5,,,0.07
A-31,-24.91,j230802_04,18.75,,,0.08
A-35,-25.4,j230802_05,19.75,,,0.04
A-36,-24.76,j230802_04,20,,,0.06
A-40,-26.55,j230802_04,21.25,,,0.09
A-42,-26.46,j230802_05,21.75,,,0.21
B-02,-25.51,j230802_03,23.5,,,0.11
B-03,-25.53,j230802_03,23.75,,,0.09
B-04,-27.61,j230802_03,24,,,0.08
B-05mudstone,-26.72,j230802_03,24.25,,,0.06
B-06,-25.68,j230802_03,24.5,,,0.06
B-06,-25.85,j230802_03,24.5,,,0.05
B-07,-24.33,j230802_03,24.75,,,0.07
B-08,-26.48,j230802_03,25,,,0.06
B-09,-25.69,j230802_03,25.25,,,0.07
B-10,-24.94,j230802_03,25.5,,,0.07
B-11,-24.4,j230802_03,25.75,,,0.11
B-12,-27.36,j230802_04,26,,,0.07
B-13,-26.35,j230802_03,26.25,,,0.06
B-14,-27.99,j230802_04,26.5,,,0.07
B-16,-27.24,j230802_03,27,,,0.08
B-17,-28.12,j230802_03,27.25,,,0.08
B-18,-27.74,j230802_03,27.5,,,0.06
B-19a,-26.92,j230802_03,27.75,,,0.06
B-19b,-25.85,j230802_03,27.75,,,0.07
B-20,-27.82,j230802_03,28,,,0.06
B-21,-26.81,j230802_03,28.25,,,0.09
B-22,-24.97,j230802_03,28.5,,,0.09
B-23,-25.01,j230802_04,28.75,,,0.06
B-24,-25.73,j230802_03,28.95,,,0.07
B-channtop,-23.48,j230802_03,30.7,,,0.13
B-Coal1,-22.56,j230802_04,30.2,,,1.02
C,,,31,,,
CC,,,37,,,
C-01,-25.45,j230802_02,37.1,,,0.16
C-02,-24.61,j230802_02,37.35,,,0.08
C-03,-25.63,j230802_03,37.6,,,0.22
C-04,-25.96,j230802_02,37.85,,,0.09
C-05,-24.39,j230802_02,38.1,,,0.15
C-06,-25.14,j230802_02,38.35,,,0.15
C-07,-26.43,j230802_03,38.6,,,0.15
C-08,-26.23,j230802_05,38.85,,,0.44
C-09,-26.14,j230802_02,39.1,,,0.17
C-10,-25.87,j230802_05,39.35,,,0.19
CCC,,,40,,,
CCCC,,,50,,,
C-11,-26.53,j230802_02,51.35,,,0.08
C-12,-24.77,j230802_04,51.6,,,0.26
C-13,-24.95,j230802_02,51.85,,,0.45
C-14,-24.99,j230802_02,52.1,,,0.29
C-15,-24.74,j230802_03,52.35,,,0.29
C-16,-24.67,j230802_04,52.6,,,0.4
C-17,-24.14,j230802_03,52.85,,,0.39
C-18,-24.27,j230802_02,53.1,,,0.17
C-19,-25.68,j230802_02,56.5,,,0.06
C-20,-24.66,j230802_02,57.5,,,0.08
C-21,-24.57,j230802_02,62.5,,,0.14
D-01,-24.69,j230802_02,53.1,,,0.09
D-02,-23.84,j230802_01,53.35,,,0.12
D-03,-23.87,j230802_02,53.6,,,0.22
D-07,-24.02,j230802_01,54.6,,,0.53
D-09,-24.54,j230802_01,55.1,,,0.19
D-11,-24.61,j230802_01,55.6,,,0.09
D-12,-24.57,j230802_01,55.85,,,0.15
D-13,-25.41,j230802_02,56.1,,,0.06
D-14,-26.31,j230802_01,56.35,,,0.09
D-15,-23.73,j230802_01,56.6,,,0.16
D-16,-24.76,j230802_01,56.85,,,0.07
D-17,-24.06,j230802_02,57.1,,,0.1
D-18,-24.7,j230802_01,57.35,,,0.18
D-21,-24.13,j230802_01,58.1,,,0.17
D-22,-24.6,j230802_02,58.35,,,0.18
D-23,-25.82,j230802_01,58.6,,,0.14
D-24,-23.93,j230802_02,58.85,,,0.21
D-25,-25.19,j230802_01,59.1,,,0.11
D-26,-25.21,j230802_01,59.35,,,0.07
D-27,-24.49,j230802_01,59.6,,,0.13
D-28,-25.99,j230802_01,59.85,,,0.12
D-29,-24.6,j230802_01,60.1,,,0.11
D-30,-24.2,j230802_01,60.35,,,0.15
D-31,-25.86,j230802_01,60.6,,,0.05
D-32,-24.65,j230802_01,60.85,,,0.11
D-33,-23.86,j230802_02,61.1,,,0.13
D-34,-23.73,j230802_01,61.35,,,0.16
D-35,-23.7,j230802_02,61.6,,,0.19
D-36,-24.63,j230802_01,61.85,,,0.18
D-37,-25.72,j230802_02,62.1,,,0.09
D-39,-24.94,j230802_01,62.6,,,0.14
D-41,-24.99,j230802_01,63.1,,,0.12
D-Top Sykes,-26.44,j230802_02,67.1,,,0.05