Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
0,125.2293818,125.1025061,128.5651431,130.1862032,130.1685165,1.296861514,0
0.5,125.0382626,124.945349,128.3626153,129.8973377,129.8834248,1.263262424,2.468797381
1,124.8157489,124.7973352,128.164225,129.6860118,129.6718534,1.247111372,2.520283916
1.5,124.6267533,124.6308186,127.9651166,129.4811319,129.4608031,1.237324823,2.511195758
2,124.4486904,124.4676955,127.7790706,129.2923963,129.2826565,1.230791023,2.68750767
2.5,124.2908522,124.2928097,127.5970781,129.1137424,129.0992898,1.22982977,2.747365982
3,124.1320642,124.1181293,127.4178551,128.9459939,128.9261388,1.231598116,2.789819681
3.5,123.8877018,123.9184349,127.2367093,128.7806994,128.756863,1.240373593,2.760207573
4,123.6494413,123.7206457,127.0698988,128.6311363,128.6141791,1.252676171,2.997412989
4.5,123.4224862,123.4696527,126.9024998,128.4863087,128.4811454,1.279759205,2.986876165
5,123.112282,123.2766436,126.7416711,128.3437616,128.3507185,1.292632153,3.108897471
5.5,122.921506,122.9982857,126.5800954,128.2240012,128.2327465,1.33309069,3.094524508
6,122.6136363,122.7731026,126.4255097,128.1026818,128.1066262,1.359586519,3.234452312
6.5,122.3494244,122.5076448,126.2682668,127.9841668,127.9745014,1.397071947,3.179793012
7,122.0680188,122.2374217,126.1114843,127.8671642,127.8685635,1.436158793,3.189132959
7.5,121.8238847,121.9902937,125.96087,127.751261,127.7448234,1.469634531,3.319738149
8,121.580742,121.6904553,125.8090649,127.6403762,127.6199351,1.51783696,3.293696393
8.5,121.3108646,121.3702043,125.6589891,127.5231204,127.4981177,1.569621458,3.33164873
9,121.0384875,121.0726659,125.5109678,127.3778481,127.3897601,1.608464856,3.377892172
9.5,120.7414466,120.7567041,125.3582195,127.2213498,127.258742,1.649144311,3.273359799
10,120.3680317,120.4391848,125.2101176,127.0844825,127.1508857,1.695228986,3.376053161
10.5,120.0248836,120.1644894,125.0611004,126.9244138,127.0102989,1.724470509,3.355318415
11,119.7213709,119.8593339,124.9079198,126.779249,126.8659794,1.765284463,3.264120399
11.5,119.4106209,119.5425544,124.7647281,126.6086049,126.7206066,1.802563893,3.491823692
12,119.0433383,119.2322424,124.6167199,126.4374412,126.5002006,1.838060911,3.37818985
12.5,118.669513,118.9044574,124.4710937,126.29304,126.3210423,1.884842499,3.433448667
13,118.2925018,118.5642656,124.3215667,126.1212778,126.1038371,1.927809248,3.343876976
13.5,117.8725205,118.1894551,124.1680931,125.9383928,125.933683,1.976769826,3.257889259
14,117.2756295,117.5222644,123.8628096,125.5835337,125.7140233,2.056446243,1.637822021
14.5,115.1486676,115.1595793,122.840837,125.1436147,125.1827452,2.546947796,0.489249926
15,111.7793342,111.5820608,120.5238341,124.5784955,124.6038347,3.31541701,0.215796016
15.5,108.4917414,108.6223196,116.6885414,123.0187586,122.978753,3.672560985,0.130368144
16,107.6200538,107.954371,112.6828414,121.1300415,121.056219,3.361140437,0.124822129
16.5,107.2269163,107.5415571,110.2505702,119.5296613,119.4602019,3.058189849,0.205569187
17,107.0922097,107.3104051,109.7464794,119.0312178,118.9137466,2.990003245,0.991884772
17.5,107.0094607,107.21176,109.624715,118.5335712,118.4671846,2.888217138,4.106291016
18,106.9326548,107.1428231,109.516891,118.0646119,118.0460896,2.786170612,4.637182998
18.5,106.8260652,107.0724159,109.4062465,117.6281231,117.6252974,2.692782448,4.518977336
19,106.74585,106.9946353,109.2921399,117.2301806,117.1939526,2.611108509,4.381870348
19.5,106.6662619,106.9231503,109.1830819,116.801139,116.8262073,2.519895091,4.584716976
20,106.6006445,106.8710183,109.0759304,116.4177004,116.4172336,2.435378096,4.666290528
20.5,106.5241217,106.7932122,108.9693493,116.003829,116.0242523,2.349647145,4.691262395
21,106.4471427,106.7203326,108.8668627,115.5602361,115.6317572,2.255077427,4.878684343
21.5,106.3563223,106.6402269,108.7648978,115.1141755,115.2042059,2.161721574,4.903651041
22,106.2564512,106.5771452,108.6636126,114.7022324,114.7805324,2.072726321,4.93655474
22.5,106.1649595,106.5019386,108.5607936,114.3518718,114.399407,2.002533963,4.862911846
23,106.0898844,106.4060702,108.4657055,113.9485671,113.9987073,1.924106341,5.258281774
23.5,106.0064366,106.3158887,108.3632964,113.5466657,113.6247673,1.844585955,4.882379723
24,105.9177876,106.2304964,108.2619348,113.1057494,113.179961,1.753891048,4.932835819
24.5,105.8165021,106.1705012,108.1675584,112.6885058,112.8226528,1.662756266,5.297931108
25,105.7182246,106.0638742,108.0667349,112.2768713,112.4251907,1.584948247,4.959163241
25.5,105.6106013,105.95461,107.9701206,111.8806369,111.9920576,1.511741541,5.175216007
26,105.5028852,105.8519558,107.8662644,111.5049098,111.5667778,1.442080094,4.814349153
26.5,105.3849769,105.7157076,107.7611422,111.153401,111.1333888,1.387166683,4.75637233
27,105.2670489,105.5951641,107.651765,110.6142511,110.614459,1.280379325,4.571334405
27.5,105.1213364,105.4670116,107.5332899,110.1797981,110.136614,1.202241453,4.220297775
28,104.9725938,105.3157237,107.401866,109.6350725,109.6783803,1.101874704,3.804480933
28.5,104.822878,105.1872993,107.2486092,109.1782256,109.1465683,1.018093432,3.262497947
29,104.6699145,105.0420901,107.0924266,108.7538338,108.6997662,0.946873385,3.201381942
29.5,104.5650468,104.925128,106.9652398,108.3624331,108.3424285,0.876863546,3.931226346
30,104.4814294,104.8284153,106.8451177,108.093055,108.1604076,0.832816272,4.16243048
30.5,104.4306615,104.7775129,106.7597,107.9494413,108.0516475,0.809165387,5.853585988
31,104.3783101,104.7282548,106.6895613,107.8906185,107.9795576,0.806725448,7.128737563
31.5,104.3365878,104.6808751,106.6262492,107.8246358,107.9077418,0.801979763,7.8973854
32,104.3063537,104.6347779,106.5661079,107.7613794,107.8431334,0.797602439,8.313747799
32.5,104.2775269,104.5751528,106.5052399,107.6997593,107.7844793,0.797093491,8.214491971
33,104.2553201,104.5281081,106.4471118,107.6410047,107.7143493,0.794106264,8.601690634
33.5,104.2298565,104.487371,106.392504,107.5792756,107.6529869,0.788751161,9.156202813
34,104.2038064,104.4542061,106.3348322,107.5321715,107.5998991,0.785195265,8.669754577
34.5,104.1692194,104.4178212,106.2742814,107.4830936,107.5408813,0.78195725,8.25752605
35,104.1413481,104.3813296,106.2174575,107.4352417,107.4922231,0.779059216,8.799121441
35.5,104.1156121,104.3385312,106.1600856,107.3894056,107.4390198,0.778284287,8.715070466
36,104.0921549,104.304927,106.1034982,107.3381937,107.3785763,0.773792528,8.835881934
36.5,104.0677976,104.2875426,106.0459533,107.2853886,107.3330818,0.764756616,8.688874464
37,104.0395143,104.2583791,105.9901543,107.2387511,107.2853289,0.760299002,8.960732132
37.5,104.0188773,104.2344305,105.9357799,107.1949409,107.2432003,0.755232253,9.195504197
38,103.9968141,104.2082296,105.8795364,107.1583231,107.1921169,0.752574893,8.889909303
38.5,103.9753095,104.1716525,105.8229112,107.1090166,107.143952,0.749327584,8.829987742
39,103.9526236,104.1312588,105.7662318,107.0672515,107.1059331,0.748977727,8.821557073
39.5,103.9323003,104.0928287,105.7137127,107.0291406,107.0713589,0.749059181,9.52033962
40,103.9062968,104.0696403,105.6573285,106.9904971,107.0274708,0.745116529,8.86773582
40.5,103.8832262,104.0464817,105.5992318,106.9573575,106.9792676,0.742570373,8.606331016
41,103.8676091,104.0249724,105.5425135,106.917317,106.9476124,0.737843001,8.815503025
41.5,103.8449823,104.0021704,105.4869085,106.8722283,106.9123924,0.732157639,8.992003505
42,103.8213138,103.9812194,105.431429,106.8321432,106.8842861,0.72727648,9.012336771
42.5,103.7981081,103.9450704,105.3754557,106.7934799,106.8479406,0.726635061,8.932833426
43,103.7802888,103.9175962,105.3163148,106.759061,106.8004326,0.724863469,8.454382834
43.5,103.7634247,103.8976617,105.2563202,106.7313909,106.7694604,0.722890108,8.334082301
44,103.747387,103.8717679,105.1970119,106.7003897,106.7288531,0.721587201,8.430520081
44.5,103.7237094,103.8498946,105.1399337,106.668032,106.6955634,0.718912583,8.759918757
45,103.703432,103.8261238,105.0813332,106.6313027,106.6624012,0.715606861,8.532350816
45.5,103.6778934,103.8027157,105.0256235,106.5941224,106.6340691,0.71209354,8.975094787
46,103.6547306,103.7802425,104.9706324,106.5634722,106.6045454,0.710007588,9.092377154
46.5,103.6325637,103.7525034,104.9119187,106.5218392,106.5741896,0.706463203,8.515898106
47,103.606717,103.7281311,104.8518949,106.4848513,106.5376685,0.703244964,8.330032612
47.5,103.5877781,103.7058525,104.7949925,106.4463033,106.4966469,0.699094598,8.786967397
48,103.5637248,103.6792903,104.7367174,106.4161471,106.460567,0.698177751,8.580000322
48.5,103.545304,103.651952,104.679634,106.373485,106.4181126,0.694268623,8.759119597
49,103.5231349,103.6278935,104.6224329,106.3315453,106.3782245,0.689707106,8.741077944
49.5,103.4951856,103.5978665,104.5639444,106.2909063,106.3485047,0.686999937,8.548688525
50,103.4723972,103.5634993,104.502827,106.2532057,106.3074884,0.686149587,8.180983912
50.5,103.4494153,103.5344159,104.4476997,106.2185683,106.2661772,0.684732748,9.069915633
51,103.4244164,103.5006278,104.3897713,106.1611391,106.2251913,0.678701876,8.631336961
51.5,103.3978768,103.4676131,104.3331841,106.1273343,106.181455,0.678500305,8.835920055
52,103.371815,103.435493,104.279007,106.0786767,106.1361367,0.674281553,9.22899717
52.5,103.3388262,103.4016953,104.2260464,106.0247729,106.0839018,0.669152452,9.440980651
53,103.3108343,103.3721082,104.1687115,105.9769744,106.0331384,0.664506671,8.72069477
53.5,103.28303,103.3360879,104.1114211,105.9279632,105.995219,0.661192691,8.727466959
54,103.2535286,103.3003181,104.053054,105.8840725,105.9527482,0.659121026,8.56646593
54.5,103.2214429,103.2608704,103.9939713,105.8167129,105.8905146,0.652000634,8.462712668
55,103.1857907,103.2165167,103.9326329,105.7552931,105.8368661,0.647647046,8.151509756
55.5,103.1462082,103.1632423,103.8699013,105.6859611,105.769652,0.64355072,7.970453202
56,103.102039,103.1083431,103.7989968,105.6116254,105.7125642,0.638592411,7.051744025
56.5,103.0028361,103.0124727,103.7140094,105.5228246,105.6027143,0.640395886,5.883226987
57,102.342613,102.4976804,103.6199999,105.4464169,105.5158866,0.752228693,5.318607044