,,Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
,,,,,,,,,
,,11,110.5261365,110.2739209,111.3849519,0.639043566,4.182462431,5.214269193,0.916793112
,,11.5,110.4185109,110.2364261,111.2538714,0.59658485,3.814448688,4.645736342,0.844537906
,,12,110.3322419,110.1991509,111.1142769,0.539610831,3.581803571,5.795822415,0.661391355
,,12.5,110.2453533,110.1671626,110.9735635,0.480342917,3.553322541,5.754492749,0.6914914
,,13,110.1576175,110.135133,110.8353407,0.427944662,3.617346399,5.698932309,0.689623164
,,13.5,110.0710974,110.0948414,110.7005645,0.379386151,3.709853864,5.779002361,0.757441648
,,14,109.9657137,110.0358825,110.5568564,0.336724691,3.47927489,4.744565398,0.796764585
,,14.5,109.834345,109.932193,110.4145788,0.305769092,3.514256395,3.806080389,0.814627392
,,15,109.6194289,109.8078319,110.2726391,0.278953669,3.522622931,2.326490127,0.754925229
,,15.5,109.4436675,109.6968798,110.1444499,0.242307153,3.90048533,2.844764746,0.856506006
,,16,109.3499804,109.6004122,110.0694644,0.20694504,6.667955957,5.336918259,0.811330501
,,16.5,109.2743508,109.5253411,110.034636,0.173401754,14.35609074,6.611164703,0.947167525
,,17,109.23291,109.4690259,110.0095788,0.157567192,19.95439725,12.0654154,1.96527165
,,17.5,109.2064318,109.4358697,109.9906473,0.16406407,26.41098342,18.88341125,148.645284
,,18,109.1813829,109.3970387,109.9714924,0.172455143,26.10292333,19.96100844,224.956138
,,18.5,109.1520176,109.3717102,109.9516236,0.17756409,25.16512813,17.02686735,257.2752714
,,19,109.1289448,109.3475665,109.9316217,0.182641558,24.99763747,21.67054426,249.2746608
,,19.5,109.112121,109.3271334,109.912415,0.186750167,26.03252505,29.71987349,257.9723049
,,20,109.0940026,109.3101896,109.892254,0.189994469,24.8004298,27.59626189,296.3055138
,,20.5,109.0717395,109.2852542,109.8736076,0.195403745,26.81470659,22.45866668,310.0391559
,,21,109.0524409,109.2614844,109.8543393,0.200509154,25.94935602,25.9086459,261.9003076
,,21.5,109.0337203,109.2439711,109.8349655,0.203992934,25.80817618,26.7084627,247.6339747
,,22,109.0187031,109.2297171,109.8154734,0.20657139,25.65140659,33.29512069,307.0644761
,,22.5,108.9996699,109.2132798,109.7962865,0.209816763,26.05943015,26.26992304,278.2310209
,,23,108.9880644,109.2032651,109.7775232,0.211332216,26.64767182,43.08285421,280.8907203
,,23.5,108.9708116,109.1875661,109.7582093,0.214451704,25.88810208,28.98087567,227.4938138
,,24,108.9555663,109.1716275,109.7397995,0.217512202,27.1594581,32.79694943,248.942935
,,24.5,108.9393012,109.1504709,109.7221777,0.221960059,28.37400694,30.74063316,269.8744386
,,25,108.9208691,109.1318469,109.7038344,0.225775343,27.25784856,27.12660399,281.5592204
,,25.5,108.9055302,109.1132739,109.6844575,0.229454087,25.80399026,32.59696706,277.8058325
,,26,108.8906902,109.1004919,109.6668098,0.231691733,28.33228816,33.69257147,197.56125
,,26.5,108.8732852,109.0898544,109.6485617,0.23349007,27.40014016,28.72747604,272.6696412
,,27,108.8573887,109.0779994,109.6316503,0.235601208,29.56583382,31.45345577,181.8521225
,,27.5,108.8456931,109.0634615,109.6139005,0.238399161,28.16931293,42.75125286,192.13353
,,28,108.8222554,109.0496928,109.5960488,0.241057364,28.00854548,21.33312775,203.3294353
,,28.5,108.805145,109.0330641,109.5756051,0.244448134,24.45740164,29.22196497,203.2553709
,,29,108.7873716,109.0175177,109.5573319,0.247621443,27.36240323,28.13185916,236.3142856
,,29.5,108.7695301,108.9964725,109.5389086,0.252160933,27.1396291,28.02462736,199.6793618
,,30,108.7481969,108.9739675,109.5199176,0.257184033,26.32827836,23.43766517,174.5298088
,,30.5,108.7295454,108.9558914,109.5014565,0.260997178,27.08386487,26.80743173,153.5374769
,,31,108.7106925,108.9284317,109.482904,0.267033145,26.9506041,26.5210919,202.4436229
,,31.5,108.690908,108.9005705,109.4626764,0.273317444,24.71877263,25.27235376,136.9592234
,,32,108.6730175,108.8694713,109.4423739,0.280100353,24.62748927,27.94780888,123.7559209
,,32.5,108.6495983,108.8372221,109.4214344,0.287291775,23.87829845,21.34999029,123.091658
,,33,108.6237191,108.8057584,109.4006343,0.294086907,24.0382981,19.32054567,98.7169887
,,33.5,108.596583,108.7737718,109.3783611,0.300940484,22.44847868,18.42560682,79.98941371
,,34,108.5699484,108.7443083,109.3545743,0.307013165,21.02007313,18.77260093,96.841609
,,34.5,108.5347334,108.709021,109.3284519,0.31437151,19.14071752,14.19850102,87.13177725
,,35,108.4496639,108.6720586,109.2905614,0.321564223,13.19589163,5.877547005,99.59810636
,,35.5,108.2944187,108.6326098,109.2483025,0.328911731,11.83183152,3.220710342,82.20862201
,,36,108.0565443,108.589069,109.2021376,0.336255663,10.83075054,2.101950175,55.23231448
,,36.5,107.8366081,108.5432459,109.1565757,0.342552987,10.97408129,2.273386545,47.707141
,,37,107.6117015,108.4983719,109.1129263,0.349450141,11.45490314,2.223144618,50.38650829
,,37.5,107.4510034,108.4553022,109.0718591,0.357342455,12.17516842,3.111424875,58.34877237
,,38,107.3037921,108.4010881,109.0323354,0.369040792,12.65062743,3.396479314,63.86176756
,,38.5,107.1901825,108.3612783,108.9928227,0.376851981,12.65418482,4.401034882,72.42020798
,,39,107.0566641,108.3209764,108.9547403,0.385013298,13.12940027,3.744802236,70.38589602
,,39.5,106.9333127,108.2817259,108.9177945,0.392675571,13.53334243,4.053462053,74.26689011
,,40,106.8132386,108.2403239,108.8813704,0.401050778,13.72716377,4.164094735,74.45321832
,,40.5,106.7036078,108.1953697,108.8440081,0.410240851,13.38249209,4.560760861,90.0599147
,,41,106.5955443,108.1499542,108.8061749,0.419611488,13.21589492,4.626907898,88.5427923
,,41.5,106.4649166,108.0986402,108.7686524,0.430809798,13.32534638,3.827673143,73.221504
,,42,106.3286261,108.0471803,108.729182,0.44198565,12.66771253,3.668635411,91.62979199
,,42.5,106.1817234,107.9966713,108.6918499,0.453105758,13.39329221,3.403612746,78.899483
,,43,106.0476938,107.9439948,108.6524346,0.464470094,12.68545602,3.730519791,80.07920215
,,43.5,105.877871,107.8859875,108.6107667,0.476671681,11.99962118,2.944244232,77.56738583
,,44,105.7233319,107.8248974,108.5703425,0.490707086,12.36885133,3.235428062,58.54472053
,,44.5,105.5693146,107.7646172,108.5289441,0.503717025,12.07773745,3.246388494,58.34563582
,,45,105.4111423,107.6992119,108.4852638,0.518350805,11.44682857,3.161109062,40.67943073
,,45.5,105.2398742,107.6373508,108.4416661,0.531881343,11.46848251,2.919400592,32.11401266
,,46,105.1060889,107.5740538,108.3946887,0.544826363,10.64342469,3.737330542,25.77758419
,,46.5,104.9733123,107.5226644,108.3439917,0.548972989,9.862519563,3.76572239,35.43047702
,,47,104.8669632,107.4805632,108.2821027,0.543337528,8.078969072,4.701497713,28.61821584
,,47.5,104.7686025,107.4499351,108.2184593,0.529193993,7.856282072,5.083330288,13.62012705
,,48,104.6926747,107.4188349,108.1541329,0.514767833,7.772860484,6.58520467,13.98812179
,,48.5,104.619452,107.3866732,108.0981948,0.502248667,8.938444777,6.828489875,22.78831072
,,49,104.5511375,107.3617611,108.0433174,0.490561893,9.111212646,7.319090054,26.63690043
,,49.5,104.4835247,107.33971,107.9862409,0.478919955,8.760182352,7.395047148,26.26740261
,,50,104.4170924,107.3147292,107.9310315,0.46602739,9.056426762,7.526460788,27.54161383
,,50.5,104.3540627,107.289574,107.8750172,0.457737849,8.92629347,7.932765129,28.55066647
,,51,104.2877671,107.2644185,107.816223,0.447509138,8.504232081,7.541980041,27.10145361
,,51.5,104.2210596,107.2423544,107.7586452,0.43778037,8.683905774,7.495410353,27.47496383
,,52,104.1529783,107.2139698,107.6983876,0.43201851,8.297716482,7.344157103,27.53571291
,,52.5,104.0789237,107.184881,107.6391489,0.426065582,8.440416301,6.751774138,25.5152533
,,53,103.9975713,107.153978,107.5781435,0.420396485,8.196007476,6.146104694,24.99609371
,,53.5,103.9042476,107.1173791,107.517296,0.420996742,8.217254419,5.357693008,24.65012253
,,54,103.7792619,107.0742445,107.4545739,0.419342186,7.971675293,4.000459194,20.87060229
,,54.5,103.6318184,107.0158512,107.3884212,0.424065739,7.558275783,3.391128902,21.18800148
,,55,103.3112731,106.8997059,107.3331755,0.444606073,9.050468381,1.559841818,21.54614886
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,