Section,Sample,Metres,δ13Corg ‰ (V-PDB),δ13Ccarb ‰ (V-PDB),δ18Ocarb ‰ (V-PDB),TOC (%)
Active quarry,CBBQ-1,0,−31.0,7.3,−0.1,2.6
,CBBQ-2,1,−25.0,9.6,−5.5,0.4
,CBBQ-3,2,−26.3,,,0.4
,CBBQ-4,3,−31.8,3.7,−6.7,1
,CBBQ-5,4,−27.4,7.4,−8.9,0.1
,CBBQ-6aux,4.5,−31.1,5,−8.3,6.5
,CBBQ-6,5,−31.7,3.7,−7.5,1.7
,CBBQ-6 charcoal,5,−26.5,,,
,CBBQ-7,6,−31.7,9.2,−7.1,0
,CBBQ-8r,7,−31.8,11.3,−1.6,3.8
,CBBQ-9,8,−30.9,6.9,−8.6,0.8
,CBBQ-10,8.5,−26.9,11.4,−0.5,0.3
,CBBQ-11,8.9,−25.3,,,0.4
,CBBQ-12r,9.3,−30.5,,,5.7
,CBBQ-13r,10.3,−31.0,9.5,−0.2,2.5
,CBBQ-14r,11.4,−30.4,9,0.7,2.5
,CBBQ-15r,12.6,−30.6,8.3,−2.0,3.2
,CBBQ-16,13.4,−28.7,9.2,−1.3,0.9
,CBBQ-17,14.4,−28.9,9,−4.0,0.9
,CBBQ-18,15.5,−25.4,10.5,0.1,0.5
,CBBQ-19,16.5,−26.6,8.6,−1.2,0.2
,CBBQ-20,17.5,−25.0,,,0.2
,CBBQ-21,18.5,−25.0,8.5,−4.3,0.4
,CBBQ-22,19.55,−25.2,7.4,−1.3,0.2
,CBBQ-23,20.4,−25.3,6.9,−6.3,0.4
,CBBQ-24,21.3,−25.6,8.1,−2.4,0.2
,CBBQ-25,22.3,−24.4,10.5,−2.4,0.2
,CBBQ-26,23.3,−24.4,9.7,−1.6,0.4
,CBBQ-27,24.4,−28.4,8.1,−1.2,1.5
,CBBQ-28,25.4,−27.8,8,−3.5,1.3
,CBBQ-29,26.1,−24.4,9,−4.9,0.4
,CBBQ-30,27.1,−27.4,7.8,−5.6,1.2
,CBBQ-31bottom,27.6,−25.5,6.2,−6.7,0.3
,CBBQ-31top,27.6,−25.4,8.3,−4.3,0.4
,CBBQ-32,28.1,−24.3,10.5,−3.2,0.2
,CBBQ-33,29.1,−27.9,,,3.7
,CBBQ-34,30.1,−27.0,7.2,−4.5,0.6
,CBBQ-36,32.1,−24.2,,,0.2
,CBBQ-37,33.1,−25.2,9.5,−5.4,0.1
,CBBQ-38shale,34,−24.4,3.7,−6.5,0.7
,CBBQ-38ss,34.1,−23.9,1.7,−10.0,0.1
,CBBQ-39,35.1,−24.8,3.8,−12.9,0.1
,CBBQ-39 charcoal,35.1,−21.7,,,
,CBBQ-40,35.6,−24.5,8.4,−4.0,0.5
,CBBQ-41,36.6,−25.3,,,1
,CBBQ-42,37.6,−25.3,7.9,−4.5,0.5
,CBBQ-43,38.29,−22.1,4.2,−13.0,1.1
,CBBQ-43bR,38.72,−21.4,,,1.4
,CBBQ-43c,38.89,−22.3,0.4,−11.7,4.6
,CBBQ-43dR,38.99,−22.1,1.7,−12.1,2.3
,CBBQ-44,39.29,−24.4,,,0.1
,CBBQ-45,40.29,−25.3,,,0.1
,CBBQ-46,41.29,−24.1,3.5,−9.3,0.5
,CBBQ-47,42.29,−27.2,8,−4.0,1.6
,CBBQ-48,43.29,−24.7,,,0.1
,CBBQ-49b,44.29,−24.0,,,0.2
,CBBQ-49.5,44.89,−24.3,2.9,−13.2,0.5
,CBBQ-50,45.29,−26.9,,,0.1
,CBBQ-51,46.29,−20.9,,,0.4
,CBBQ-52,47.29,−22.8,,,1.6
,CBBQ-53,48.19,−22.8,2.3,−12.2,6.5
,CBBQ-54,49.19,−24.3,,,0.1
,CBBQ-55,50.19,−23.1,,,1.3
,CBBQ-56,51.19,−23.5,,,1.1
,CBBQ-57,52.19,−23.0,2.6,−8.0,0.8
,CBBQ-58,53.19,−23.8,4.1,−7.8,0.6